Date,DstDomain,DstUser,LogonTypeName,AttemptedLogons,MAX_TimeGenerated [UTC],MIN_TimeGenerated [UTC],SuccessfulLogons,FailedLogons,ComputerDomainsAccessed,DistinctAuthenticationPackage,ComputersAccessed,DistinctSrcIp,DistinctSrcHostName,ComputersSuccessfulAccess,ComputerDomainsSuccessfulAccess,SrcIpSuccessfulAccess,SrcHostNameSuccessfulAccess,ActiveMilliseconds
9/19/2022,CONTOSO,ACC-01,3 - Network,238,"9/19/2022, 11:29:46.297 PM","9/19/2022, 12:17:46.373 AM",238,0,1,1,2,1,1,2,1,1,1,83519924
9/24/2022,CONTOSO,ACC-01,3 - Network,111,"9/24/2022, 9:58:13.253 AM","9/24/2022, 12:00:42.307 AM",111,0,1,1,2,1,1,2,1,1,1,35850946
9/23/2022,CONTOSO,ACC-01,3 - Network,253,"9/23/2022, 11:47:53.827 PM","9/23/2022, 12:00:44.773 AM",253,0,1,1,2,1,1,2,1,1,1,85629054
9/18/2022,CONTOSO,ACC-01,3 - Network,227,"9/18/2022, 11:44:46.407 PM","9/18/2022, 12:48:30.043 AM",227,0,1,1,2,1,1,2,1,1,1,82576364
9/11/2022,CONTOSO,ACC-01,3 - Network,227,"9/11/2022, 11:25:59.437 PM","9/11/2022, 12:18:42.917 AM",227,0,1,1,2,1,1,2,1,1,1,83236520
9/6/2022,CONTOSO,ACC-01,3 - Network,20,"9/6/2022, 6:23:36.923 PM","9/6/2022, 1:07:35.663 PM",20,0,1,1,7,1,1,7,1,1,1,18961260
9/26/2022,CONTOSO,ACC-01,3 - Network,1,"9/26/2022, 12:10:03.863 PM","9/26/2022, 12:10:03.863 PM",1,0,1,1,1,1,1,1,1,1,1,0
9/14/2022,CONTOSO,ACC-01,3 - Network,1,"9/14/2022, 12:28:22.620 AM","9/14/2022, 12:28:22.620 AM",1,0,1,1,1,1,1,1,1,1,1,0
9/13/2022,CONTOSO,ACC-01,3 - Network,4,"9/13/2022, 7:45:46.250 PM","9/13/2022, 7:42:05.493 PM",4,0,1,1,1,1,1,1,1,1,1,220757
9/21/2022,CONTOSO,ACC-01,3 - Network,1,"9/21/2022, 1:32:41.577 PM","9/21/2022, 1:32:41.577 PM",1,0,1,1,1,1,1,1,1,1,1,0
